15.79,14.921
13.64,15.33
14.866,16.474
13.585,13.989
13.464,15.635
12.949,16.14
15.311,15.175
13.898,15.432
11.921,14.306
14.859,14.901
13.635,14.562
15.76,15.133
15.222,14.185
12.106,13.427
14.808,13.871
15.361,15.99
12.729,15.827
15.385,15.21
13.818,14.299
15.379,15.902
14.112,15.316
12.824,13.697
14.584,14.997
14.295,15.847
13.511,15.591
13.714,15.355
12.858,14.002
14.57,14.224
15.59,15.721
13.1,15.09
14.615,14.855
13.928,16.094
13.29,15.422
14.328,15.011
12.994,15.029
13.217,15.021
13.729,14.036
12.597,13.466
14.031,16.311
14.061,15.33
15.27,15.577
15.882,15.462
15.072,14.416
13.985,15.472
14.162,14.815
14.687,14.414
14.119,16.766
14.32,15.381
13.309,15.043
13.552,14.018
15.171,16.014
14.281,14.994
13.337,15.042
14.377,15.679
14.326,16.47
14.625,14.234
14.169,14.107
12.972,15.489
12.374,14.881
15.154,15.058
14.093,14.772
12.595,15.04
13.615,14.721
12.67,15.986
14.704,15.888
15.278,13.893
13.271,14.507
14.137,14.78
15.294,16.507
14.67,15.353
14.031,13.73
13.774,14.76
14.552,16.644
13.886,14.8
14.434,14.339
13.386,15.065
13.826,16.449
15.206,15.761
12.371,13.215
14.55,16.116
13.105,16.562
14.22,15.831
13.805,15.903
15.185,14.954
13.859,14.407
14.81,14.469
12.799,14.047
13.697,14.287
13.321,15.493
14.089,14.933
13.767,15.913
12.499,14.688
13.355,14.738
14.567,13.749
13.553,13.906
15.113,16.286
13.046,14.816
14.745,15.316
13.14,14.93
14.351,14.263
13.135,14.656
13.875,14.327
14.766,14.64
13.619,15.452
13.542,15.775
14.882,16.032
14.75,16.606
14.075,14.994
12.784,13.792
13.613,14.804
14.219,14.484
15.586,15.208
11.849,14.377
15.143,15.264
14.608,16.808
15.728,14.933
14.551,15.635
13.645,14.466
15.188,14.942
13.9,14.668
13.022,14.944
15.147,13.864
14.135,15.135
13.734,14.281
13.774,14.425
13.114,15.53
15.151,16.993
12.281,12.757
14.699,14.732
14.553,15.378
14.274,15.186
14.702,15.863
12.251,14.404
14.749,14.48
13.463,15.053
14.763,14.148
11.622,13.623
14.551,16.218
11.842,13.721
13.694,15.815
14.853,16.011
14.756,15.516
13.527,15.487
14.619,15.407
13.366,15.359
13.87,15.52
14.488,13.971
14.646,15.743
13.343,13.578
13.775,15.437
19.29,10.676
8.7386,16.796
0.30794,5.3914
28.542,21.6
19.035,12.029
14.376,23.356
8.7781,16.69
